,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
101,2/18/2005,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Joyce, Brian A.",Committee,2005 Year-end Report (ND)
102,2/23/2005,GREATER BOSTON REAL ESTATE BOARD,2108,$100.00 ,"Walsh, Marian",Committee,2005 Year-end Report (ND)
103,5/9/2005,Greater Boston Real Estate Board,2108,$100.00 ,"LeDuc, Stephen P.",Committee,2005 Year-end Report (ND)
104,5/17/2005,"Greater Boston Real Estate Board, PAC",2108,$100.00 ,"St. Fleur, Marie",Committee,2005 Year-end Report (ND)
105,5/24/2005,Greater Boston Real Estate Board PAC,2108,$100.00 ,"Barrios, Jarrett T.",Committee,5/24/05 Deposit Report
106,6/6/2005,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Honan, Kevin G.",Committee,2005 Year-end Report (ND)
107,6/7/2005,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$200.00 ,"Flaherty Jr., Michael F.",Union/Association,6/7/05 Deposit Report
108,6/30/2005,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Murphy, Stephen",Committee,6/30/05 Deposit Report
109,9/20/2005,Greater Boston Real Estate,2108,$200.00 ,"O'Flaherty, Eugene L.",Committee,2005 Year-end Report (ND)
110,10/12/2005,Greater Boston Real Estate Board Political Action Committee,2108,$500.00 ,"Menino, Thomas M.",Individual,10/12/05 Deposit Report
111,10/28/2005,Greater Boston Real Estate Board,2108,$200.00 ,"Galvin, William F.",Committee,10/28/05 Deposit Report
112,11/2/2005,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$100.00 ,"Flaherty Jr., Michael F.",Committee,11/2/05 Deposit Report
113,1/23/2006,GREATER BOSTON REAL ESTATE BOARD POLITICAL ACTION COMMITTEE,2108,$500.00 ,"DiMasi, Salvatore F.",Committee,2006 Pre-primary Report (ND)
114,3/7/2006,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Donato, Paul J.",Committee,2006 Pre-primary Report (ND)
115,3/7/2006,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Mariano, Ronald",Committee,2006 Pre-primary Report (ND)
116,3/8/2006,GREATER BOSTON REAL ESTATE BOARD PAC,2108,$300.00 ,"Murray, Therese",Committee,2006 Pre-primary Report (ND)
117,3/15/2006,Greater Boston Real Estate Board PAC,2108,$200.00 ,"Nuciforo, Jr., Andrea F.",Committee,2006 Other Report (ND)
